appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,reclassified_genre,game_type
412140,Electric Highways,2015-10-28,Single-player,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,1139,143,14,Adventure,Singleplayer
413760,Go To Bed: Survive The Night,2015-10-28,Single-player;Steam Achievements,Action;Casual;Indie,Indie;Casual;Action,14,20,0,Action,Singleplayer
382350,Devil's Bluff,2015-10-28,Multi-player;Co-op;Cross-Platform Multiplayer;Partial Controller Support,Action;Adventure;Indie,Indie;Adventure;Action,122,71,0,Adventure,Multiplayer
251290,The Legend of Heroes: Trails in the Sky SC,2015-10-29,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,JRPG;Story Rich;RPG,1108,26,0,RPG,Singleplayer
269990,Infinite Space III: Sea of Stars,2015-10-29,Single-player,Adventure;Indie,Adventure;Indie;Space,64,30,0,Adventure,Singleplayer
291770,The Last Crown: Midnight Horror,2015-10-29,Single-player,Adventure;Indie,Adventure;Indie;Psychological Horror,74,21,0,Adventure,Singleplayer
300580,GALAK-Z,2015-10-29,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Indie,Action;Indie;Space,333,120,484,Action,Singleplayer
347730,Wait - Extended,2015-10-29,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Horror,38,4,0,Adventure,Singleplayer
375320,Colortone,2015-10-29,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Puzzle,55,35,245,Adventure,Singleplayer
384110,Pathologic Classic HD,2015-10-29,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Atmospheric;Story Rich;Survival,843,150,308,Action,Singleplayer
390290,Bulb Boy,2015-10-29,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Point & Click,518,59,0,Adventure,Singleplayer
390920,Army of Pixels,2015-10-29,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Indie;Pixel Graphics,38,7,0,Strategy,Singleplayer
404420,Sun Dogs,2015-10-29,Single-player;Includes level editor,Adventure;Casual;Indie,Adventure;Indie;Casual,11,6,0,Adventure,Singleplayer
415330,When In Rome,2015-10-29,Single-player,Adventure;Casual;Simulation;Strategy,Casual;Strategy;Adventure,4,1,0,Adventure,Singleplayer
375040,Death Tractor,2015-10-29,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Indie;Simulation,Action;Casual;Simulation,26,20,0,Simulation,Multiplayer
407620,Indie Game Battle,2015-10-29,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie;Early Access,Early Access;Indie;Action,81,100,240,Action,Multiplayer
342540,Terminal Hacker - Into the Deep,2015-10-30,Single-player;Steam Achievements;Captions available;Partial Controller Support,Adventure;Indie;Early Access,Early Access;Adventure;Indie,3,8,0,Adventure,Singleplayer
353270,Hyperdimension Neptunia Re;Birth3 V Generation / 神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY / 神次次元遊戲 戰機少女 重生3 Ｖ世紀,2015-10-30,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG;Strategy,Anime;JRPG;RPG,2590,120,180,RPG,Singleplayer
365880,Mirrored - Chapter 1,2015-10-30,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Point & Click,70,35,0,Adventure,Singleplayer
383460,Sound of Drop - fall into poison -,2015-10-30,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Visual Novel;Anime;Indie,286,37,744,Indie,Singleplayer
400470,The Seven Years War (1756-1763),2015-10-30,Single-player,Strategy,Strategy;RTS;War,65,34,0,Strategy,Singleplayer
404410,Endless Sky,2015-10-30,Single-player,Action;Adventure;Free to Play;RPG;Simulation,Space;Free to Play;Open World,3420,366,50,Action,Singleplayer
