appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,appid
296530,Coldfire Keep,2014-05-09,Single-player,RPG,RPG;Dungeon Crawler;First-Person,37,61,0,296530
296850,Al Emmo and the Lost Dutchman's Mine,2014-05-09,Single-player;Steam Achievements;Steam Trading Cards;Stats,Adventure;Indie,Adventure;Indie;Point & Click,32,22,0,296850
297020,The Culling Of The Cows,2014-05-09,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie;Strategy,Indie;Casual;Action,2400,837,235,297020
260160,The Last Tinker™: City of Colors,2014-05-12,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Adventure;Indie;Action,496,110,0,260160
269330,Chronology,2014-05-12,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,412,59,192,269330
285420,Deadly Sin 2,2014-05-12,Single-player,Casual;RPG,RPG;RPGMaker;Casual,72,9,0,285420
287200,Wildlife Park 3,2014-05-12,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Casual;Indie;Simulation;Strategy,Simulation;Strategy;Casual,192,178,0,287200
293320,Coma: Mortuary,2014-05-12,Single-player;Steam Trading Cards,Adventure;Indie,Horror;Indie;Adventure,480,415,254,293320
237970,Memento Mori 2,2014-05-13,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,56,22,0,237970
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,2014-05-13,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action,Hack and Slash;Action;Historical,4596,1091,356,278080
296930,Ascendant,2014-05-13,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,Action;Adventure;Indie;RPG,Indie;Platformer;Action,146,40,285,296930
227060,Hegemony Rome: The Rise of Caesar,2014-05-15,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Indie;RPG;Simulation;Strategy,Strategy;Indie;Simulation,235,154,0,227060
238460,BattleBlock Theater®,2014-05-15,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Casual;Indie,Comedy;Co-op;Platformer,47342,1290,289,238460
244450,Men of War: Assault Squad 2,2014-05-15,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Simulation;Strategy,Strategy;World War II;War,11389,2025,6473,244450
